id,G1,G2,G3
1,5,6,6
2,5,5,6
3,7,8,10
4,15,14,15
5,6,10,10
6,15,15,15
7,12,12,11
8,6,5,6
9,16,18,19
10,14,15,15
11,10,8,9
12,10,12,12
13,14,14,14
14,10,10,11
15,14,16,16
16,14,14,14
17,13,14,14
18,8,10,10
19,6,5,5
20,8,10,10
21,13,14,15
22,12,15,15
23,15,15,16
24,13,13,12
25,10,9,8
26,6,9,8
27,12,12,11
28,15,16,15
29,11,11,11
30,10,12,11
31,9,11,12
32,17,16,17
33,17,16,16
34,8,10,12
35,12,14,15
36,8,7,6
37,15,16,18
38,15,16,15
39,12,12,11
40,14,13,13
41,7,10,11
42,12,12,12
43,19,18,18
44,8,8,11
45,10,10,9
46,8,8,6
47,11,12,11
48,19,19,20
49,15,15,14
50,7,7,7
51,12,13,13
52,11,13,13
53,11,11,10
54,8,10,11
55,10,13,13
56,8,9,10
57,14,15,15
58,14,15,15
59,9,10,9
60,15,16,16
61,10,11,11
62,10,8,11
63,8,10,9
64,10,9,9
65,10,10,10
66,16,15,15
67,13,13,12
68,7,7,6
69,8,9,8
70,16,16,16
71,13,15,15
72,10,10,10
73,8,6,5
74,12,12,14
75,11,12,11
76,9,9,10
77,11,11,10
78,11,11,11
79,8,8,10
80,5,5,5
81,10,12,12
82,11,10,11
83,7,6,6
84,15,15,15
85,9,10,10
86,7,9,8
87,8,7,6
88,13,14,14
89,11,10,10
90,8,6,7
91,7,7,8
92,16,17,18
93,7,6,6
94,11,10,10
95,11,13,14
96,7,10,10
97,11,15,15
98,8,9,10
99,11,14,14
100,7,9,8
101,7,7,5
102,16,17,17
103,10,13,14
104,7,6,6
105,16,18,18
106,10,11,11
107,7,8,8
108,16,18,18
109,10,13,13
110,14,15,16
111,18,19,19
112,7,10,10
113,10,13,13
114,18,19,19
115,9,9,9
116,15,15,16
117,11,13,14
118,13,14,13
119,9,7,8
120,14,13,13
121,16,15,15
122,16,14,15
123,13,13,13
124,14,11,13
125,8,7,8
126,13,13,12
127,7,10,11
128,7,8,9
129,7,4,0
130,18,18,18
131,12,0,0
132,8,0,0
133,10,13,12
134,12,11,11
135,9,0,0
136,11,0,0
137,10,0,0
138,4,0,0
139,14,12,12
140,16,16,15
141,7,9,0
142,9,9,9
143,9,11,11
144,14,14,13
145,5,0,0
146,8,11,11
147,6,7,0
148,10,11,11
149,7,6,0
150,8,9,10
151,6,5,0
152,12,13,14
153,10,10,10
154,5,0,0
155,11,11,12
156,11,8,8
157,16,12,13
158,9,8,10
159,17,15,15
160,10,12,12
161,7,6,0
162,5,9,7
163,7,0,0
164,10,10,10
165,5,8,7
166,12,11,12
167,10,10,10
168,14,15,16
169,6,7,0
170,14,14,14
171,6,5,0
172,13,15,16
173,13,11,10
174,8,7,0
175,10,11,9
176,10,9,9
177,13,13,11
178,6,5,6
179,10,8,9
180,10,10,11
181,9,8,8
182,12,13,12
183,16,17,17
184,9,9,8
185,12,13,12
186,12,12,11
187,11,12,11
188,15,15,15
189,8,7,9
190,8,9,10
191,11,12,13
192,8,8,9
193,7,8,8
194,8,9,10
195,13,14,14
196,14,15,15
197,17,15,16
198,9,9,10
199,18,18,18
200,9,9,10
201,16,16,16
202,8,10,10
203,9,9,10
204,7,6,6
205,10,10,11
206,10,9,9
207,7,7,7
208,11,12,13
209,9,9,10
210,7,7,7
211,8,8,8
212,12,12,13
213,12,13,14
214,6,7,8
215,8,10,10
216,14,15,15
217,6,6,4
218,6,6,8
219,7,7,8
220,9,10,10
221,6,6,6
222,6,5,0
223,16,16,17
224,12,13,13
225,13,13,14
226,9,8,7
227,16,15,15
228,12,11,12
229,10,8,9
230,12,10,12
231,13,13,14
232,11,11,11
233,11,9,9
234,14,13,13
235,9,7,6
236,11,9,10
237,14,13,13
238,13,12,12
239,13,11,11
240,7,7,0
241,12,12,12
242,10,11,12
243,6,0,0
244,13,12,12
245,7,0,0
246,18,18,18
247,12,12,13
248,6,8,8
249,3,5,5
250,13,15,15
251,6,8,8
252,7,10,10
253,6,9,8
254,8,9,8
255,8,12,12
256,7,9,8
257,14,12,13
258,11,11,11
259,15,14,14
260,10,9,0
261,17,18,18
262,8,8,8
263,13,12,12
264,10,9,9
265,9,10,0
266,17,17,17
267,9,9,10
268,12,10,11
269,10,9,10
270,6,0,0
271,9,9,9
272,15,14,14
273,11,11,11
274,15,14,14
275,10,10,10
276,12,12,12
277,10,9,9
278,9,9,9
279,9,8,8
280,10,11,10
281,8,8,8
282,11,9,10
283,12,12,12
284,8,9,10
285,10,9,11
286,12,10,11
287,18,18,19
288,13,12,12
289,15,14,14
290,15,13,15
291,12,11,11
292,15,15,15
293,12,12,13
294,18,18,18
295,14,13,14
296,14,12,11
297,10,9,0
298,10,8,8
299,14,13,14
300,16,15,16
301,12,10,11
302,11,11,10
303,15,12,14
304,17,17,18
305,15,14,13
306,14,12,12
307,17,18,18
308,8,9,8
309,15,12,12
310,12,10,10
311,9,9,0
312,14,12,13
313,13,11,11
314,13,10,11
315,15,13,13
316,13,11,11
317,8,8,0
318,9,10,9
319,11,11,10
320,11,11,11
321,13,13,13
322,11,9,9
323,11,11,11
324,12,14,15
325,16,15,15
326,9,12,11
327,14,15,16
328,11,10,10
329,10,9,9
330,14,14,14
331,9,8,8
332,12,14,14
333,7,0,0
334,8,8,0
335,10,9,0
336,16,15,15
337,14,13,13
338,7,8,0
339,16,15,17
340,9,10,10
341,11,12,11
342,10,10,0
343,16,15,15
344,9,8,0
345,11,10,10
346,13,13,14
347,16,15,16
348,10,10,9
349,13,15,15
350,11,13,13
351,8,7,8
352,13,13,13
353,8,7,8
354,8,8,8
355,13,11,11
356,10,9,9
357,12,13,13
358,12,12,11
359,10,10,10
360,18,16,16
361,13,13,13
362,13,12,12
363,11,11,10
364,16,15,15
365,12,11,12
366,10,10,10
367,13,13,13
368,7,6,0
369,11,10,10
370,14,12,11
371,7,7,9
372,14,12,12
373,13,11,11
374,6,5,5
375,19,18,19
376,8,8,10
377,15,14,15
378,8,9,10
379,15,15,15
380,10,10,10
381,15,14,14
382,7,6,7
383,11,11,10
384,6,5,0
385,6,5,5
386,10,9,10
387,6,5,6
388,7,5,0
389,7,9,8
390,6,5,0
391,9,9,9
392,14,16,16
393,10,8,7
394,11,12,10
395,8,9,9
